Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa,NPofB20
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,79.945,0.935,0.773,0.870,0.565,0.665
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,74.451,0.813,0.835,0.789,0.361,0.653
BOOKKEEPER,1,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,78.297,0.959,0.727,0.825,0.550,0.619
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,79.924,0.959,0.815,0.854,0.261,0.611
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,80.114,0.941,0.834,0.800,0.189,0.617
BOOKKEEPER,2,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,71.023,0.980,0.697,0.774,0.230,0.586
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,93.088,0.926,1.000,0.852,0.628,0.643
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,86.029,0.895,0.949,0.783,0.297,0.631
BOOKKEEPER,3,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,92.206,0.925,0.990,0.759,0.595,0.637
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,91.089,0.915,0.981,0.856,0.669,0.670
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,82.744,0.867,0.930,0.837,0.357,0.654
BOOKKEEPER,4,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,90.382,0.916,0.970,0.793,0.651,0.670
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,96.779,0.964,0.997,0.985,0.896,0.689
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,82.953,0.877,0.914,0.884,0.441,0.665
BOOKKEEPER,5,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,95.436,0.967,0.976,0.928,0.857,0.691
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,35.440,1.000,0.096,0.548,0.057,0.665
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,73.626,0.815,0.815,0.677,0.354,0.653
BOOKKEEPER,1,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,78.297,0.959,0.727,0.825,0.550,0.619
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,39.015,1.000,0.332,0.666,0.080,0.611
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,79.545,0.950,0.820,0.681,0.220,0.617
BOOKKEEPER,2,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,71.023,0.980,0.697,0.772,0.230,0.586
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,59.118,0.970,0.543,0.718,0.201,0.643
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,83.529,0.909,0.899,0.665,0.321,0.631
BOOKKEEPER,3,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,91.765,0.925,0.985,0.740,0.579,0.637
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,84.724,0.930,0.878,0.796,0.542,0.670
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,81.754,0.898,0.875,0.723,0.427,0.654
BOOKKEEPER,4,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,90.382,0.916,0.970,0.793,0.651,0.670
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,91.275,0.982,0.907,0.921,0.758,0.689
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,82.953,0.936,0.843,0.810,0.541,0.665
BOOKKEEPER,5,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,95.436,0.967,0.976,0.922,0.857,0.691
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,73.352,0.815,0.812,0.785,0.349,0.634
BOOKKEEPER,1,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,78.297,0.959,0.727,0.825,0.550,0.619
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,34.470,1.000,0.282,0.861,0.064,0.598
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,79.545,0.947,0.822,0.794,0.211,0.617
BOOKKEEPER,2,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,71.023,0.980,0.697,0.774,0.230,0.584
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,56.618,0.962,0.518,0.843,0.175,0.620
